,,,,,,,,,,,,,
,Остатки,,,,,,,,,,,,
,,отчет создан:,18/03/2026 12:32:54,,,,,,,,,,
,,исполнитель:,Баркова Светлана (admin@autopartsworld ),,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Код,Артикул,Наименование,Ед.изм.,Доступно,Резерв,Ожидание,Остаток,Себестоимость,"Сумма себестоимости",Цена продажи,Сумма продажи,Дней на складе
,,,,,,,,,,,,,
,2682,2803414HF01,Накладка/элерон фары правый 2803414HF01/2803410HF01885 HongQi H5 Original,шт,2,0,0,2,510,1020,1800,3600,85.93
,2708,2810035HF01,Планка защиты двигателя передняя 2810035HF01/2810035HF01SCC HongQi H5 Original no logo,шт,2,0,0,2,1836,3672,10800,21600,84.96
,2241,102606445L,Прокладка натяжителя 102606445L HongQi H5,шт,2,0,0,2,241.5,483,500,1000,239.42
,2746,6103030HF02,Стекло переднее правое 6103030HF02 HongQi H5 Original,шт,3,0,0,3,7140,21420,17000,51000,82.63
,2688,3785070HF04,Камера передняя 3785070HF04 HongQi H5 Original,шт,3,0,0,3,4488,13464,10700,32100,85.93
,2678,5407575HF01004,Эмблема левой двери 5407575HF01004 HongQi H5 BRAND SIKECHUANG 5407575HF01,шт,4,0,0,4,1020,4080,3060,12240,85.93
,2700,5407310HF01S1,Накладка порога правая 5407310HF01S1 HongQi H5 Original no logo,шт,4,0,0,4,3264,13056,20000,80000,84.96
,2693,2803241HF01P,Кронштейн переднего бампера центральный 2803241HF01P HongQi H5 Original,шт,4,0,0,4,1836,7344,9000,36000,85.93
,2681,2804221HF01P,Кронштейн заднего бампера левый дополнительный 2804221HF01P HongQi H5 BRAND,шт,4,0,0,4,326.4,1305.6,1220,4880,85.93
,2757,2804222HF01P,Кронштейн заднего бампера правый дополнительный 2804222HF01P HongQi H5 BRAND,шт,4,0,0,4,326.4,1305.6,1220,4880,82.63
,2709,2810110HF01P,Усилитель бампера переднего нижний 2810110HF01P HongQi H5 Original no logo,шт,4,0,0,4,3060,12240,21000,84000,84.96
,2687,3710025HF01,Датчик клиренса передний 3710025HF01 HongQi H5 Original,шт,5,0,0,5,4488,22440,9000,45000,85.93
,2758,1130525HF01P,Фильтр вентиляции топливного бака 1130525HF01P Hongqi H5 Original,шт,5,0,0,5,1122,5610,2320,11600,82.63
,2689,2905020HF02 ,Амортизатор передний правый 2905020HF02 HongQi H5 Original,шт,5,0,0,5,2346,11730,13000,65000,85.93
,2685,2905015HF02,Амортизатор передний левый 2905015HF02 HongQi H5 Original,шт,5,0,0,5,2346,11730,13000,65000,85.93
,2711,5006150HF01,Защита днища правая 5006150HF01 HongQi H5 Original,шт,5,0,0,5,2040,10200,7600,38000,84.96
,2686,2804320HF01P,Насадка глушителя/выхлопной трубы правая 2804320HF01P HongQi H5 Original no logo,шт,5,0,0,5,3570,17850,9595,47975,79.72
,2702,1119010HF02P,Радиатор интеркулер 1119010HF02P HongQi H5 Original,шт,5,0,0,5,5814,29070,30000,150000,84.96
,2701,5407305HF512J,Накладка порога левая 5407305HF512J HongQi H5 Original no logo,шт,5,0,0,5,3264,16320,20000,100000,84.96
,2706,2803260HF01,Верхняя планка телевизора под крепление фар 2803260HF01 HongQi H5 Original,шт,5,0,0,5,918,4590,3000,15000,84.96
,2692,2309025HF02P,Вал промежуточный передний правый 2309025HF02P HongQi H5 Original no logo,шт,5,0,0,5,4080,20400,18700,93500,85.93
,2699,1106010HF01A ,Фильтр топливный в сборе с насосом 1106010HF01A HongQi H5 Original,шт,5,0,0,5,4896,24480,10000,50000,84.96
,2710,5006145HF01,Защита днища левая 5006145HF01 HongQi H5 Original,шт,5,0,0,5,2040,10200,7600,38000,84.96
,2674,2901070QC01A,Подшипник опорный передний 2901070QC01A Original,шт,6,0,0,6,591.6,3549.6,2500,15000,85.93
,2690,2904025QD01A,Рычаг передний левый 2904025QD01A HongQi H5 BRAND,шт,9,0,0,9,4998,44982,16000,144000,85.93
,2691,2904030QD01A,Рычаг передний правый 2904030QD01A HongQi H5 BRAND,шт,10,0,0,10,4998,49980,16000,160000,85.93
,2684,3716115HF01,Катафот задний левый 3716115HF01 HongQi H5 Original,шт,10,0,0,10,408,4080,1485,14850,85.93
,2707,2804156HF21885,Молдинг заднего бампера центральный 2804156HF21885 HongQi H5 BRAND,шт,10,0,0,10,591.6,5916,3200,32000,84.96
,2759,3716120HF01,Катафот правый задний 3716120HF01 HongQi H5 Original,шт,19,0,0,19,408,7752,1840,34960,82.63
,HongQi H5,,,,,,,,,,,,
,1819,5207080HF01,Бачок омывателя 5207080HF01 HongQi H5,шт,1,0,0,1,1545.6,1545.6,5500,5500,252.73
,2763,5HA213970,Фильтр угольный/абсорбер топливных паров 5HA213970 BRAND,шт,1,0,0,1,1734,1734,4999,4999,80.6
,2175,3607115HF01,Блок управления AIR BAG для Hongqi H5 3607115HF01,шт,1,0,0,1,6440,6440,55000,55000,252.73
,1928,3711025HF01,ДХО передний левый верхний 3711025HF01 HongQi H5,шт,1,0,0,1,11398.8,11398.8,22800,22800,252.73
,2781,3418320HF01BP,Рулевая рейка 3418320HF01BP HongQi H5 Refurbishment,шт,1,0,0,1,30600,30600,90000,90000,80.6
